latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.4197,77.97533,337.35,0.46,0.47,2026-09-17,0752,N,nominal,2.0NRT,301.6,3.45,D
14.47426,78.25214,345.76,0.44,0.46,2026-09-17,0752,N,nominal,2.0NRT,302.58,7.33,D
14.34916,76.77248,335.54,0.55,0.51,2026-09-17,0752,N,nominal,2.0NRT,299.7,7.92,D
14.34582,76.77034,338.34,0.55,0.51,2026-09-17,0752,N,nominal,2.0NRT,299.74,5.57,D
14.63784,77.24184,342.1,0.51,0.49,2026-09-17,0752,N,nominal,2.0NRT,301,6.26,D
17.69873,95.69556,328.23,0.55,0.68,2026-09-17,0752,N,nominal,2.0NRT,286.82,2.47,D
15.22019,77.55892,348.38,0.47,0.48,2026-09-17,0752,N,nominal,2.0NRT,302.14,9.7,D
15.90257,79.4185,333.26,0.54,0.42,2026-09-17,0752,N,nominal,2.0NRT,301.62,2.37,D
15.72621,78.39029,342.11,0.41,0.45,2026-09-17,0752,N,nominal,2.0NRT,300.53,5.89,D
15.71992,78.20345,337.01,0.42,0.45,2026-09-17,0752,N,nominal,2.0NRT,301.75,5.11,D
15.57457,76.90315,331.92,0.51,0.5,2026-09-17,0752,N,nominal,2.0NRT,299.62,3.25,D
15.28948,75.23705,333.78,0.33,0.56,2026-09-17,0752,N,nominal,2.0NRT,298.47,2.24,D
16.13089,78.2978,343.56,0.41,0.45,2026-09-17,0752,N,nominal,2.0NRT,297.81,5.16,D
16.46995,79.60595,334.17,0.51,0.41,2026-09-17,0752,N,low,2.0NRT,300.73,8.74,D
16.7369,79.29222,336.26,0.53,0.42,2026-09-17,0752,N,nominal,2.0NRT,302.01,3.89,D
18.00865,83.52342,330.28,0.38,0.36,2026-09-17,0752,N,nominal,2.0NRT,297.03,1.31,D
17.93264,82.01937,333.7,0.4,0.37,2026-09-17,0752,N,nominal,2.0NRT,297.53,2.37,D
19.09782,82.16909,334.45,0.39,0.36,2026-09-17,0752,N,nominal,2.0NRT,300.53,4.5,D
20.7945,85.25539,337.85,0.43,0.38,2026-09-17,0752,N,nominal,2.0NRT,291.23,7.84,D
20.86482,84.98676,334.65,0.42,0.38,2026-09-17,0752,N,nominal,2.0NRT,298.42,2.25,D
20.86884,84.99023,333.3,0.42,0.38,2026-09-17,0752,N,nominal,2.0NRT,300.8,10.16,D
20.88555,84.98354,340.2,0.42,0.38,2026-09-17,0752,N,nominal,2.0NRT,301.13,5.88,D
20.889,84.98299,338.03,0.42,0.38,2026-09-17,0752,N,nominal,2.0NRT,300.29,5.88,D
20.97951,85.13586,334,0.43,0.38,2026-09-17,0752,N,nominal,2.0NRT,299.68,4.58,D
22.05378,88.12634,339.82,0.41,0.45,2026-09-17,0752,N,nominal,2.0NRT,294.62,3.6,D
22.37893,87.28261,333.14,0.55,0.43,2026-09-17,0752,N,nominal,2.0NRT,297.42,8.99,D
22.37826,87.27721,333.28,0.55,0.43,2026-09-17,0752,N,nominal,2.0NRT,296.35,8.13,D
21.91952,83.35139,344.18,0.39,0.36,2026-09-17,0752,N,nominal,2.0NRT,301.07,6.34,D
21.92284,83.35082,349.35,0.39,0.36,2026-09-17,0752,N,nominal,2.0NRT,298.66,6.34,D
21.9295,83.34969,329.08,0.39,0.36,2026-09-17,0752,N,nominal,2.0NRT,298.31,4.95,D
21.98642,83.23223,329.86,0.39,0.36,2026-09-17,0752,N,low,2.0NRT,300.43,3.12,D
21.10249,72.63689,367,0.38,0.59,2026-09-17,0754,N,high,2.0NRT,292.62,9.37,D
21.10482,72.64775,343.6,0.38,0.59,2026-09-17,0754,N,nominal,2.0NRT,293.04,6.57,D
23.67882,86.39905,336.25,0.51,0.41,2026-09-17,0754,N,nominal,2.0NRT,298.08,13.52,D
23.6779,86.08772,333.27,0.5,0.41,2026-09-17,0754,N,nominal,2.0NRT,296.92,4.68,D
23.16512,82.34019,339.91,0.38,0.36,2026-09-17,0754,N,nominal,2.0NRT,298.49,5.58,D
23.16455,82.33646,330.69,0.38,0.36,2026-09-17,0754,N,nominal,2.0NRT,296.94,2.68,D
23.78183,86.21259,333.45,0.5,0.41,2026-09-17,0754,N,nominal,2.0NRT,295.55,4.44,D
23.78114,86.20964,346.86,0.5,0.41,2026-09-17,0754,N,nominal,2.0NRT,297.59,6.73,D
21.3043,57.79751,342.44,0.39,0.36,2026-09-17,0934,N,low,2.0NRT,313.94,0.82,D
21.31033,57.7471,343.09,0.39,0.36,2026-09-17,0934,N,low,2.0NRT,314.81,3.75,D
21.31308,57.74284,344.43,0.39,0.36,2026-09-17,0934,N,low,2.0NRT,314.94,2.58,D
21.32023,57.72262,342.86,0.39,0.36,2026-09-17,0934,N,nominal,2.0NRT,311.96,1.26,D
21.33327,57.72375,342.4,0.39,0.36,2026-09-17,0934,N,low,2.0NRT,313.02,2.14,D
22.10395,59.69904,344.86,0.43,0.38,2026-09-17,0934,N,nominal,2.0NRT,308.54,9.62,D
21.83404,56.68269,341.73,0.39,0.36,2026-09-17,0934,N,low,2.0NRT,316.43,1.29,D
21.93879,57.07478,343.52,0.38,0.36,2026-09-17,0934,N,low,2.0NRT,315.23,3.3,D
22.3261,56.49079,343,0.39,0.36,2026-09-17,0934,N,low,2.0NRT,318,1.25,D
22.40623,56.98766,340.61,0.38,0.36,2026-09-17,0934,N,low,2.0NRT,314.2,1.4,D
22.34417,56.43373,345.52,0.39,0.36,2026-09-17,0934,N,low,2.0NRT,318.04,1.4,D
22.34747,56.43313,349.52,0.39,0.36,2026-09-17,0934,N,nominal,2.0NRT,317.86,4.27,D
24.51018,54.0201,336.61,0.42,0.38,2026-09-17,0937,N,nominal,2.0NRT,304.38,4.21,D
25.30838,56.37438,335.3,0.38,0.36,2026-09-17,0937,N,low,2.0NRT,306.5,3.31,D
25.49837,54.30961,333.84,0.41,0.37,2026-09-17,0937,N,nominal,2.0NRT,303.53,6.53,D
25.60162,54.42527,334.03,0.4,0.37,2026-09-17,0937,N,nominal,2.0NRT,303.43,2.45,D
25.70401,54.3018,332.42,0.41,0.37,2026-09-17,0937,N,low,2.0NRT,303.17,2.09,D
27.55297,68.30039,331.59,0.52,0.67,2026-09-17,0937,N,nominal,2.0NRT,300.33,4.34,D
29.64009,91.29373,326.03,0.4,0.6,2026-09-17,0756,N,low,2.0NRT,298.84,3.49,D
28.03819,69.67198,332.77,0.41,0.6,2026-09-17,0756,N,nominal,2.0NRT,293.75,6.1,D
28.05055,69.3679,330.14,0.42,0.61,2026-09-17,0756,N,nominal,2.0NRT,294.88,2.9,D
28.49409,69.28618,335.64,0.42,0.61,2026-09-17,0756,N,nominal,2.0NRT,298.26,2.69,D
31.68462,72.19856,339.84,0.48,0.48,2026-09-17,0756,N,nominal,2.0NRT,293.03,3.53,D
38.0493,67.26441,367,0.32,0.55,2026-09-17,0758,N,high,2.0NRT,312.63,7.11,D
38.05019,67.2679,347.33,0.32,0.55,2026-09-17,0758,N,nominal,2.0NRT,309.66,7.27,D
37.03308,62.41505,343.19,0.6,0.71,2026-09-17,0758,N,nominal,2.0NRT,307.23,4.94,D
39.00109,63.45113,340.81,0.47,0.64,2026-09-17,0758,N,nominal,2.0NRT,309.59,2.38,D
27.9747,69.00535,330.06,0.58,0.7,2026-09-17,0937,N,nominal,2.0NRT,297.7,5.26,D
27.97435,69.00301,333.07,0.58,0.7,2026-09-17,0937,N,nominal,2.0NRT,297.78,3.5,D
27.1443,56.11266,339.43,0.38,0.36,2026-09-17,0937,N,low,2.0NRT,314.22,6.24,D
27.16237,56.10191,339.81,0.38,0.36,2026-09-17,0937,N,low,2.0NRT,313.98,12.52,D
27.16918,56.05693,348.07,0.38,0.36,2026-09-17,0937,N,nominal,2.0NRT,313.98,10.06,D
27.1686,56.05306,349.92,0.38,0.36,2026-09-17,0937,N,nominal,2.0NRT,315.22,10.06,D
27.42116,56.50105,342.13,0.39,0.36,2026-09-17,0937,N,low,2.0NRT,312.44,4.85,D
29.34179,56.88774,340.93,0.4,0.37,2026-09-17,0937,N,low,2.0NRT,315.55,3.77,D
29.98809,55.85467,345.4,0.39,0.36,2026-09-17,0937,N,low,2.0NRT,319.64,17.58,D
34.59747,60.75057,338.74,0.44,0.46,2026-09-17,0939,N,low,2.0NRT,312.98,1.96,D
37.03079,62.41827,347.22,0.58,0.52,2026-09-17,0939,N,nominal,2.0NRT,315.12,12.28,D
37.11766,62.36682,343.34,0.58,0.52,2026-09-17,0939,N,low,2.0NRT,314.39,13.39,D
37.09684,60.74465,340.25,0.47,0.48,2026-09-17,0939,N,nominal,2.0NRT,308.49,3.36,D
37.23458,60.85011,337.23,0.48,0.48,2026-09-17,0939,N,low,2.0NRT,311.42,9.43,D
36.80982,54.05964,340.18,0.39,0.36,2026-09-17,0939,N,nominal,2.0NRT,302.99,3.92,D
37.81096,64.03149,340.55,0.36,0.58,2026-09-17,0939,N,low,2.0NRT,312.56,1.8,D
36.94641,54.88734,332.37,0.4,0.37,2026-09-17,0939,N,low,2.0NRT,305.14,4.71,D
37.00486,54.90768,334.2,0.4,0.37,2026-09-17,0939,N,nominal,2.0NRT,300.55,4.42,D
37.03355,54.93898,331.08,0.4,0.37,2026-09-17,0939,N,low,2.0NRT,303.77,2.15,D
37.16509,55.03678,333.7,0.41,0.37,2026-09-17,0939,N,low,2.0NRT,307.3,1.97,D
37.53481,55.35671,335.09,0.42,0.38,2026-09-17,0939,N,low,2.0NRT,310.07,1.52,D
37.53824,55.35597,335.77,0.42,0.38,2026-09-17,0939,N,low,2.0NRT,310.66,1.72,D
38.68048,54.3158,350.5,0.4,0.37,2026-09-17,0941,N,nominal,2.0NRT,323.77,4.16,D
39.22028,56.48549,339.2,0.47,0.4,2026-09-17,0941,N,low,2.0NRT,313.85,5.39,D
39.22394,56.48479,347.11,0.47,0.4,2026-09-17,0941,N,nominal,2.0NRT,314.67,5.39,D
39.2233,56.47931,338.34,0.47,0.4,2026-09-17,0941,N,low,2.0NRT,312.86,5.39,D
39.40726,55.73536,344.15,0.45,0.39,2026-09-17,0941,N,nominal,2.0NRT,316.26,4.25,D
38.84176,100.17066,297.14,0.4,0.6,2026-09-17,1836,N,nominal,2.0NRT,285.28,0.37,N
36.59199,101.48624,302.14,0.33,0.55,2026-09-17,1836,N,nominal,2.0NRT,279,1.09,N
36.56876,101.52558,304.43,0.32,0.55,2026-09-17,1836,N,nominal,2.0NRT,282,1.4,N
36.57061,101.52859,295.69,0.32,0.55,2026-09-17,1836,N,nominal,2.0NRT,280.56,0.79,N
26.56364,101.67685,308.12,0.49,0.49,2026-09-17,1841,N,nominal,2.0NRT,288.15,4.51,N
25.38188,99.30583,303.67,0.33,0.56,2026-09-17,1841,N,nominal,2.0NRT,286.36,0.52,N
25.06475,101.56851,301.67,0.48,0.48,2026-09-17,1841,N,nominal,2.0NRT,286.34,1.26,N
25.07108,99.2869,303.23,0.33,0.55,2026-09-17,1841,N,nominal,2.0NRT,284.16,1.26,N
22.63034,100.73566,297.36,0.5,0.49,2026-09-17,1841,N,nominal,2.0NRT,280.71,0.98,N
20.86695,96.39072,300.01,0.45,0.63,2026-09-17,1841,N,nominal,2.0NRT,275.08,0.64,N
15.65784,73.98741,309.59,0.5,0.49,2026-09-17,2023,N,nominal,2.0NRT,287.68,1.82,N
13.44764,80.09685,305.49,0.38,0.36,2026-09-17,2023,N,nominal,2.0NRT,287.99,1.47,N
13.39237,80.10231,308.79,0.38,0.36,2026-09-17,2023,N,nominal,2.0NRT,286.24,1.22,N
13.38076,80.11128,305.05,0.38,0.36,2026-09-17,2023,N,nominal,2.0NRT,287.42,1.24,N
12.62707,79.91238,315.74,0.38,0.36,2026-09-17,2023,N,nominal,2.0NRT,289.16,1.63,N
11.81608,77.91647,303.15,0.42,0.37,2026-09-17,2023,N,nominal,2.0NRT,284.71,0.94,N
11.26819,80.00468,315.44,0.38,0.36,2026-09-17,2023,N,nominal,2.0NRT,288.2,2.8,N
8.9122,80.78463,296.77,0.4,0.37,2026-09-17,2025,N,nominal,2.0NRT,259.28,0.36,N
8.90882,80.78407,296.76,0.4,0.37,2026-09-17,2025,N,nominal,2.0NRT,260.39,0.36,N
8.76085,78.01939,307.37,0.4,0.37,2026-09-17,2025,N,nominal,2.0NRT,293.37,1.38,N
33.81553,72.71992,301.48,0.48,0.65,2026-09-17,2017,N,nominal,2.0NRT,287.61,0.9,N
33.81437,72.71983,301.95,0.48,0.64,2026-09-17,2017,N,nominal,2.0NRT,287.28,0.53,N
32.88997,71.61622,301.89,0.54,0.68,2026-09-17,2019,N,nominal,2.0NRT,288.38,0.93,N
32.71838,72.77374,301.19,0.46,0.64,2026-09-17,2019,N,nominal,2.0NRT,288.24,0.54,N
32.57735,72.56294,302.33,0.48,0.64,2026-09-17,2019,N,nominal,2.0NRT,290.71,1.27,N
32.57627,72.56003,306.98,0.48,0.64,2026-09-17,2019,N,nominal,2.0NRT,290.86,1.56,N
29.37393,91.15168,296.69,0.45,0.47,2026-09-17,2019,N,nominal,2.0NRT,279.91,1.53,N
29.22585,88.34896,295.18,0.48,0.4,2026-09-17,2019,N,nominal,2.0NRT,280.17,0.83,N
29.91951,74.9534,303.76,0.32,0.55,2026-09-17,2019,N,nominal,2.0NRT,291.13,0.92,N
25.54002,91.23613,301.7,0.54,0.51,2026-09-17,2019,N,nominal,2.0NRT,284.95,0.76,N
26.75973,83.19985,314.71,0.39,0.36,2026-09-17,2019,N,nominal,2.0NRT,295.09,3.36,N
28.03721,69.66631,311.09,0.65,0.73,2026-09-17,2019,N,nominal,2.0NRT,281.44,2.22,N
24.66724,91.59554,310.44,0.59,0.53,2026-09-17,2019,N,nominal,2.0NRT,283.76,0.97,N
24.92962,84.148,307.83,0.39,0.36,2026-09-17,2019,N,nominal,2.0NRT,290.32,0.88,N
23.5586,87.23982,335.25,0.52,0.41,2026-09-17,2021,N,nominal,2.0NRT,265.95,6.29,N
24.20532,82.70683,305.18,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,289.99,0.64,N
24.20473,82.71059,306.64,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,290.7,1.45,N
24.19693,82.7169,319.69,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,290.08,1.62,N
24.20653,82.52477,302.9,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,285.63,0.56,N
24.18205,82.65988,307.62,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,290.44,1.18,N
24.1811,82.64421,307.27,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,289.88,0.92,N
24.16302,82.62923,310.7,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,289.83,1.11,N
24.15919,82.56651,308.94,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,290.19,1.13,N
24.1545,82.59667,303.68,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,289.36,0.57,N
24.1451,82.65688,309.94,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,288.77,0.93,N
23.82859,84.57331,305.7,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,288.02,1.88,N
23.73961,85.0083,309.55,0.41,0.37,2026-09-17,2021,N,nominal,2.0NRT,286.93,1.57,N
24.32523,81.32887,308.4,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,288.99,0.64,N
23.64853,85.43797,302.31,0.43,0.38,2026-09-17,2021,N,nominal,2.0NRT,274.75,0.34,N
23.71881,85.00961,308.91,0.42,0.37,2026-09-17,2021,N,nominal,2.0NRT,284.92,0.59,N
25.3881,68.57704,304.56,0.71,0.75,2026-09-17,2021,N,nominal,2.0NRT,291.97,1.15,N
24.05251,80.61311,308.97,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,291.68,1.02,N
24.01121,80.53002,304.79,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,291.56,0.93,N
22.37922,87.27854,322.59,0.54,0.42,2026-09-17,2021,N,nominal,2.0NRT,287.15,4.05,N
22.37536,87.27769,308.67,0.54,0.42,2026-09-17,2021,N,nominal,2.0NRT,286.8,2.06,N
22.36656,87.30293,312.57,0.54,0.42,2026-09-17,2021,N,nominal,2.0NRT,285.31,2.88,N
22.3627,87.30209,311.96,0.54,0.42,2026-09-17,2021,N,nominal,2.0NRT,285.02,2.4,N
22.35698,87.28996,304.91,0.54,0.42,2026-09-17,2021,N,nominal,2.0NRT,286.17,1.23,N
23.16786,82.34424,312.13,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,288.52,1.61,N
23.16514,82.33989,330.1,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,290.17,1.61,N
23.16573,82.33615,306.39,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,289.2,0.73,N
23.16456,82.34363,307.95,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,287.95,1.61,N
22.36705,87.01815,311.33,0.52,0.42,2026-09-17,2021,N,nominal,2.0NRT,287.73,1.57,N
23.16242,82.33555,313.18,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,288.77,1.06,N
22.36325,87.01734,306.81,0.52,0.42,2026-09-17,2021,N,nominal,2.0NRT,287.35,1.94,N
22.05408,88.12284,310.15,0.41,0.45,2026-09-17,2021,N,nominal,2.0NRT,279.94,0.93,N
22.05333,88.12676,300.01,0.41,0.45,2026-09-17,2021,N,nominal,2.0NRT,279.35,0.93,N
22.2189,84.88046,304.48,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,289.6,0.62,N
22.13164,85.38404,306.67,0.44,0.39,2026-09-17,2021,N,nominal,2.0NRT,288.74,0.63,N
22.2141,84.86684,325.37,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,290.16,1.64,N
22.2134,84.87091,305.34,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,290.19,1.64,N
22.21136,84.86207,306.61,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,290.55,2.79,N
22.20791,84.86137,336.29,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,290.95,2.79,N
22.21141,84.84103,307.2,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,289.89,1.22,N
22.20931,84.85323,307.19,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,289.72,0.57,N
22.2065,84.86951,312.33,0.42,0.38,2026-09-17,2021,N,nominal,2.0NRT,288.89,1.96,N
22.05503,85.46603,305.45,0.45,0.39,2026-09-17,2021,N,nominal,2.0NRT,289.57,0.88,N
22.20851,84.54888,306.86,0.41,0.37,2026-09-17,2021,N,nominal,2.0NRT,289.78,1.04,N
21.93141,85.22286,307.39,0.44,0.38,2026-09-17,2021,N,nominal,2.0NRT,290.02,1.54,N
21.92439,85.22147,317.28,0.44,0.38,2026-09-17,2021,N,nominal,2.0NRT,290.6,2.65,N
22.33073,82.60389,310.14,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,279.63,1.39,N
22.32318,82.58723,302.7,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,277.88,0.75,N
22.32258,82.59093,303.12,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,279.21,0.75,N
22.3201,82.56376,308.88,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,277.97,0.94,N
22.35783,82.30344,341.06,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,289.04,4.46,N
22.31739,82.55944,320.34,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,276.76,1.87,N
22.35842,82.29972,316.3,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,286.35,2.74,N
22.3168,82.56316,299.36,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,277.18,0.94,N
22.31489,82.53227,298.81,0.38,0.36,2026-09-17,2021,N,nominal,2.0NRT,277.66,1.17,N
21.76424,85.57803,303.15,0.46,0.39,2026-09-17,2021,N,nominal,2.0NRT,287.55,0.55,N
22.04216,83.73125,296.86,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,264.45,0.66,N
22.03882,83.73061,303.22,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,265.49,0.66,N
22.08943,83.11558,304.78,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,283.61,1.12,N
22.03775,83.34889,303.75,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,279.24,0.78,N
22.03713,83.35266,305.56,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,280.06,0.78,N
22.03135,83.36708,301.22,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,279.46,0.88,N
21.96451,83.77235,301.3,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,274.03,0.97,N
21.95255,83.78188,296.47,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,271.43,0.35,N
21.98516,83.23084,303.58,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,280.88,0.77,N
21.98454,83.23458,307.92,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,280.37,0.77,N
21.92215,83.35123,307.34,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,266.89,0.97,N
21.88929,83.55106,302.35,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,279.92,0.34,N
21.91882,83.35059,305.62,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,267.6,0.97,N
21.87802,83.55674,301.9,0.39,0.36,2026-09-17,2021,N,nominal,2.0NRT,281.12,0.65,N
21.76514,84.02493,325.15,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,277.25,1.77,N
21.76645,84.01719,303.37,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,276.53,1.42,N
21.7658,84.02105,303.86,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,275.57,1.77,N
21.76242,84.0204,303.32,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,275.03,1.69,N
21.76347,83.84949,319.11,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,277.98,1.22,N
21.76076,83.845,311.2,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,274.14,1.22,N
21.76011,83.84884,300.38,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,275.73,1.22,N
21.7574,83.84435,312.21,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,275.01,1.51,N
21.75404,83.8437,318.14,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,276.8,1.51,N
21.75276,83.84368,308.34,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,276.58,1.66,N
21.7494,83.84303,324.86,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,277.46,1.66,N
21.74604,83.84237,326.62,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,276.98,2.05,N
21.74268,83.84171,311.08,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,275.12,2.05,N
21.73932,83.84106,302.62,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,273.03,0.85,N
21.68145,84.04111,301.12,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,272.91,1.05,N
21.67872,84.03658,306.87,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,275.89,1.04,N
21.67807,84.04046,305.93,0.4,0.37,2026-09-17,2021,N,nominal,2.0NRT,273.29,1.04,N
20.9745,86.00552,304.18,0.49,0.4,2026-09-17,2021,N,nominal,2.0NRT,287.05,1.5,N
20.97082,86.00476,314.37,0.49,0.4,2026-09-17,2021,N,nominal,2.0NRT,287.52,2.2,N
20.96912,86.01407,317.46,0.49,0.4,2026-09-17,2021,N,nominal,2.0NRT,288.16,1.49,N
20.96827,86.01872,307.63,0.49,0.4,2026-09-17,2021,N,nominal,2.0NRT,288.29,1.49,N
20.96714,86.00399,308.38,0.49,0.4,2026-09-17,2021,N,nominal,2.0NRT,287.77,2.2,N
